"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Heave Force [N]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,31648.291397446977,28205.388598722588,22341.431818202473,17672.436151427468,17787.760815436184,13580.314033413737,8411.230101941806,7479.386782556866,5679.125353056214,5163.286842785116,4180.705001573663,3997.5823920561106
[8.0-8.5),,,,,,,,,,54583.03405321442,25680.083428085378,21426.633077873783,15933.93978896374,13701.943217192184,13038.381316057106,10195.828752042404,7117.087940424419,6290.535791882425,5551.178638582646,4836.356189386598,3828.3980596679917,4006.4458305912403
[7.5-8.0),,,,,,,,,,43370.808491216085,44806.9586813875,24632.315607384742,19896.135304712796,14350.599135959867,14532.031365790079,9416.695693031186,7403.078762328629,5800.821664281859,4536.285487568372,4481.553810868876,4027.3732591890926,3510.1528890603313
[7.0-7.5),,,,,,,,,,28181.15979464072,21453.831955742407,19302.36173874814,16362.857862877492,14600.823469215777,13539.356102637696,8225.814678973798,7307.155042947163,5931.4858312477745,5293.981577175621,4087.839161597623,3506.2607562805374,3565.015961769263
[6.5-7.0),,,,,,,,,,23833.122438465554,18022.39492937196,16764.581093404588,13888.754630688292,14002.969302929896,11445.627138181766,9649.539247968509,6357.8359559230385,5431.842728477325,4513.3422206136775,3903.424256935061,3394.008784919725,3090.228851697779
[6.0-6.5),,,,,,,,,31314.323589263302,21360.80380633862,17982.005223952438,19360.658265935985,12575.830672434517,10233.715597159386,10696.59363124707,7452.231172607405,6335.487223796751,5047.418725536224,4074.9060828054744,3520.484591459645,3090.8352006961413,2879.2825811970138
[5.5-6.0),,,,,,,,,33929.399882838115,21224.569500536538,16733.404707675105,15040.01106956963,11921.700481170838,10131.7551305665,10059.720976799552,6333.852320257063,5072.277806226544,4159.0177353923045,4341.797165625455,3472.076335757991,3110.5883334901487,2679.8554681876853
[5.0-5.5),,,,,,,,29330.16322143881,25972.880869619534,15870.349086169728,15772.227655090399,15321.466830328676,9885.283045938233,8114.181174550219,9013.31944497125,7308.750650418501,4230.464388205473,4586.779129230627,3469.597159843219,2765.545241556355,2617.7126535440075,2380.0753115511043
[4.5-5.0),,,,,,,,30101.82666640797,19449.119565406774,16835.97331548818,15224.249329298233,10297.139648026801,8579.040370233799,8051.823847765559,7732.366305020051,5489.256668191476,4705.816900841691,3672.3481512085314,2775.0667354394222,2651.1445336369006,2257.951406772377,2069.392257603028
[4.0-4.5),,,,,,,26268.789919934083,23672.101201247868,20767.034686727508,15616.344215875291,10822.598891606189,10886.80144050895,8141.463598492846,6597.805956115803,6540.6661820073605,5236.430417671352,4217.562540204719,3207.5972062619153,2591.3792739291293,2406.0484526825026,2313.9290493967196,1730.5980504365605
[3.5-4.0),,,,,,39824.38194460282,26135.954731997095,17139.94211317433,15693.768227045513,14332.73877233352,10211.618324349229,8506.284028344582,6689.920225809209,5742.749547363031,6843.037196493444,4182.044555265843,3450.5744595978617,2732.3260861783497,2383.4220453521707,1932.5625949621522,1965.8556365980166,1609.5570336610167
[3.0-3.5),,,,,,27936.701215962054,21741.59488613051,16290.74935177155,12326.46518627327,12093.592961549846,8693.97831529275,7961.337772259615,5765.684318550582,4866.607119150276,5068.18199183922,4307.147817977085,2999.918012058305,2752.8068961951767,2079.8772193397067,1855.2174575464146,1758.862774267445,1528.6925434148338
[2.5-3.0),,,,,,23988.997212585164,16672.254588803768,14221.432792887246,11627.272833973455,10112.710048666177,8111.83262981303,6546.46287958127,5216.130179698227,4320.667013687516,4562.938962915381,3147.335055605027,2512.937350004829,2236.1088594166167,1686.9896495664311,1604.5011699858783,1467.3534708182074,1263.9702735386127
[2.0-2.5),,,,,21082.26166639746,17756.76463775146,13495.199763045308,11623.38128937375,10094.015966932837,6708.362829019791,7135.857593614007,5128.797114601603,4200.975305181694,3310.0458094559904,3341.1574154247446,2795.623489298393,2232.735839519896,1728.8553231994335,1432.924734787825,1490.7285830344952,1289.2124007563573,1135.927328907206
[1.5-2.0),,,,26878.617094704914,19088.092777091755,15095.715437070752,10306.965433692023,9980.033436679194,6453.727732664096,5894.214666651595,4704.3964451780075,3817.245325266303,3126.932077415911,2856.427674039652,3172.8686041159804,1895.4398175427898,1548.8118048648837,1236.16196076064,1142.789166663732,1050.0591674298012,905.1325480213176,877.481344968641
[1.0-1.5),,,18543.253272724884,16517.375625315963,12565.5988009857,9041.169400023135,7304.520218736009,5912.076638935409,5093.490441807785,3933.755110280711,3339.2564259608926,3108.0958534164224,2495.435989729672,2003.8693655168684,2095.7604694485826,1362.8677131762402,1198.3016647744828,1006.1537129068695,907.1869351754079,641.4273882765094,698.1626812851684,578.7359448827301
[0.5-1.0),,15509.831955054027,12506.16452025087,9420.090699496379,8430.145036757842,7344.673673080439,4946.881799780786,3512.5581170110204,3206.077443931301,2367.8622478916604,1977.1563321671097,1735.051061928771,1401.1474780683766,1211.761599248345,1271.700715940161,1005.7421501141959,645.8466374344082,530.2505939182694,482.3144432353999,424.91136007969664,420.8180246643473,355.91321644092216
[0.0-0.5),2797.2320658852545,4297.381030626519,4920.0393676954345,3419.9885111325875,3105.5660120144653,2150.3472651825105,1730.3985698912584,1372.6497279008122,1094.252554193106,873.5323957340527,721.2166099383613,565.815919043816,449.72089703293335,415.6816681430152,422.9941956549678,290.8814054440451,229.91292177051423,202.11927783628934,162.33504276950956,155.5130018820591,130.7716929904588,109.48456626118619
