"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Peak To Average Force Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,11.547008685876962,15.838873670981688,13.883618563304232,16.71336763429773,13.155458527653161,19.031611325915893,12.79749997278727,14.195303117874314,19.367250442641613,16.29892354301054,12.6137874071786,14.335228573110442
[8.0-8.5),,,,,,,,,,13.63965349738062,11.96654717288244,10.817465561620342,11.891071618752216,13.929860187455633,13.048743016986535,12.057481623201218,12.247325231635937,16.819115166209343,14.409389429997841,14.07394682299128,11.944822861885443,19.056126716441003
[7.5-8.0),,,,,,,,,,14.360983142956371,10.983907865558352,10.583830658982738,13.204664174081264,13.388027434625656,15.549526622758234,14.193080058711912,15.017736875905374,15.667301784615244,11.485604972856972,15.095411790777577,11.634219199109374,14.081936947995613
[7.0-7.5),,,,,,,,,,9.187405583684987,11.450941769185691,10.675509276334223,9.944197481855543,10.981670268818903,14.178736429263694,10.409795722665976,14.690954331657972,16.00517441434259,12.812893252573451,12.27008330652774,10.19974952144849,13.316390333180015
[6.5-7.0),,,,,,,,,,6.08042875393191,5.299495745952711,4.792303279103782,4.893702613568398,12.192835250190022,5.252205176539521,10.238282968949079,11.637617950807417,5.054822916944202,5.700171501204714,5.0264900297367845,11.530434437378043,14.897019005999322
[6.0-6.5),,,,,,,,,5.843787040758079,5.248582641529896,4.927435602828174,5.874904661303684,5.065575086126339,4.907963610492111,14.950761498801954,9.529681567822262,4.440713347476911,4.131938098694918,13.876249381420495,5.558883424011746,12.24013405533221,4.397991162836206
[5.5-6.0),,,,,,,,,5.169918855706557,5.08070162794869,6.2815008909402055,4.740589564443111,4.989804531508375,5.931750229674802,5.670966956950927,4.651632549234665,4.476319994316705,4.354099021991335,4.352723395004507,12.02862605328766,13.358524632560483,4.340571700499453
[5.0-5.5),,,,,,,,5.679433829820647,4.754087280771169,4.773448124983974,5.135923643024073,5.126483010041032,4.773655891271623,4.311399767327759,4.448335396168725,5.017262284917106,4.59421249803848,4.577968128380904,4.713021134523296,4.294751242457555,4.94606379921576,4.618257209050254
[4.5-5.0),,,,,,,,4.251514246707705,5.219618394238981,5.3411514816768095,4.787936942194034,4.386919815582982,4.4588723060959445,4.5521428954944945,4.776557773471346,4.2266860549531176,3.9485117942137355,3.9701921219165945,5.759083593402171,4.284395616782506,4.3666455615045585,4.9069518033534605
[4.0-4.5),,,,,,,4.982281257676553,4.801705213482971,4.573141772648457,5.056646562570858,5.241494636237065,4.344892824698213,4.50311428604666,4.356179940976261,4.978898322744178,4.504190833875236,4.015123872177218,4.4622854478927305,4.518282432905164,3.8738976221277355,3.5707969540160844,4.235378950357415
[3.5-4.0),,,,,,5.850369674164178,5.6016137348922905,4.433254267204049,4.3144384273036005,4.705685022600982,4.175140921521957,4.142846679958476,4.40483026094919,4.573571367878706,3.8420637039059318,3.8075581530975566,4.119362321204408,4.396757516436953,4.315112892447796,3.656551590063425,3.879918143362563,4.193168267330714
[3.0-3.5),,,,,,4.6687793785333636,4.590171080976243,4.653301545019075,4.180935732211304,4.2591460640995,3.8890730026536877,3.894473825350266,3.4638479199577175,3.9094191551899224,4.123759618462055,3.8305511252117985,3.5019879564452356,3.8059670324228767,3.9068079012937624,3.921623938007435,4.794090910941361,3.7595247624928025
[2.5-3.0),,,,,,5.1290242074579435,4.800387204974429,4.507221816023939,4.3545790374908595,4.148043266519117,4.05274795368415,3.771483876483285,3.9063814742544487,4.59755111723362,4.158877427122235,4.105295233340818,3.9622559967615794,3.82186066989653,3.9294676737430443,4.096877312528197,3.8043865612963867,3.6867325201317884
[2.0-2.5),,,,,4.428199510657493,4.19435960439182,4.687057250393101,4.985617012585131,4.36440689861037,4.140413389612187,4.860977464987064,3.844211938864018,3.766836772028568,3.7330248591932187,3.7115944468096167,3.985400041360639,4.232457759944393,4.179626180877579,4.287355731549859,3.8733810688646604,4.163120683523089,3.5825878618921667
[1.5-2.0),,,,4.9472199978545435,5.291288304848286,4.722609247241441,4.378812438015186,4.773291459006297,5.347014542613859,3.7773150238080406,3.6709979785296425,3.7034715965757274,3.9562825646156696,3.739020569487964,4.61573105254721,3.683345611947747,3.549289849089054,4.17376985825388,4.041045951701199,3.892253619407622,4.052231310361606,4.1339571315737205
[1.0-1.5),,,4.440620675988661,4.382469689322759,5.1828511118279295,5.49205494936646,4.62652015925368,4.454530560516826,4.455245000800952,4.3862800543062175,4.303263624470025,3.5817793900366888,4.368188692659366,3.728725840863205,3.9879145531627516,3.9126501233922544,4.05375921917219,4.356946777554206,3.6561264535378903,3.647070560653856,3.8886653457581386,4.0189215260347115
[0.5-1.0),,5.219851061121474,5.0823041118577095,5.540837173494975,5.080145036677161,5.320198259768202,5.106325601537811,4.119165820300598,4.67799921868228,3.9563682319225815,4.091900747191699,4.822900705534838,3.6880125758323326,4.648552848416947,4.3259062551491265,4.42600142566117,3.751137332126868,3.8182533637602676,3.5425671088466997,3.740169987265117,4.42176239211869,4.467167500329183
[0.0-0.5),5.050629174766859,4.722392795281861,4.9521735208114475,4.469821053153169,4.765113290074728,4.723523786812609,4.767209105288242,4.75782409272193,4.627954493330002,4.672923728181223,4.315633581985877,4.527770803771535,4.919461782161199,4.477673815720956,4.635660716979792,4.3519934503290125,4.324549782080604,4.53868754635277,3.8304015980432538,5.02668205912959,4.266124191200945,4.884515263447431
