"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Velocity Maximum [m/s]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4.26066837448127,4.3218443268266435,3.7798300060018892,3.706228795674281,3.6328665426360613,3.1630870835372464,3.6977620497732864,3.416580521435125,3.537154067848139,3.7799759385668743,2.9034849141931964,2.8433195194946186
[8.0-8.5),,,,,,,,,,4.740225429762278,4.204195892156221,4.458692726347098,4.236961929734487,3.457758579971219,3.2042467004195214,3.4443613812832337,3.4285477614284128,3.1635838060881474,3.2438652248037476,2.9397594949100876,2.838450010846961,2.9448038738604265
[7.5-8.0),,,,,,,,,,4.5719375534245925,4.955528204708752,4.010824720345572,3.799446718881178,3.9368026535860228,3.5622263912988466,3.1013803068555865,3.2411278585726055,3.147910516511768,3.10954836770661,2.6935506275275864,3.139007972597274,2.7376159554997352
[7.0-7.5),,,,,,,,,,4.416412300934379,3.863998762859831,3.33969772866231,3.8240556875612906,3.902545660823557,2.958167217346183,2.7837541033709936,3.3860402782566674,2.586567387755343,2.693110466560215,3.0233829098101954,2.706293564503541,2.7108370441972505
[6.5-7.0),,,,,,,,,,3.9120678371632427,4.370558805979791,3.591930998103432,3.325608959107047,2.882268543292811,2.8769446747352245,3.3093367807283918,2.8002990348150743,3.0114631849493594,2.6194537920062473,2.7978129968600802,2.494909172935948,2.364293198905907
[6.0-6.5),,,,,,,,,4.686411581043241,3.9570767015927286,3.5352772411153746,3.5130686670199536,3.4364459607145634,2.9722467663771,2.9630145142706685,2.813518787495483,2.5711273103938903,2.3317486568787715,3.1109358834105443,2.623879188535323,2.301440888958558,2.141604352259793
[5.5-6.0),,,,,,,,,3.806467186357031,3.67345651581043,4.017595139977775,3.11502842474658,3.3061998648976165,3.0848468399807216,2.9534941242280497,2.7974656531651316,2.24784617126305,2.422946532836687,2.425369074289558,2.6160935024765855,2.172356378683037,2.0407244944723253
[5.0-5.5),,,,,,,,3.9570867670271426,3.637110786687463,3.288241361213166,3.4278862224681848,3.3093072268240955,2.9009268952141394,2.587413819349285,2.577520422938229,2.57593734415571,2.5570898175826766,2.431298665765542,2.1723618462822682,1.8841390235305746,2.2717349414897643,1.9747501955844617
[4.5-5.0),,,,,,,,3.301147607789499,4.224111145137372,3.034858672395117,3.0689038577338126,2.659787858666891,2.64695893287742,2.437583398438018,2.2368441787407614,2.594119522905196,2.1933536557851836,2.1571286108333174,2.2177246619102924,1.7936104316850985,1.664721583772086,1.7200606323972156
[4.0-4.5),,,,,,,3.254481403756254,3.6395368409198023,2.9687877420368656,2.9711217555664247,2.7553575896772378,2.704309392447397,2.6421823899585597,2.626904117116511,2.3044687338245997,2.221648303042597,2.0036012483924774,1.9763969248737492,2.0671214313629838,1.4508816697316034,1.443392062087908,1.6151747279998216
[3.5-4.0),,,,,,3.3626053267008165,3.257899135723905,2.747177331288372,2.6623209370815646,2.7049397786327583,2.432950480114812,2.30503080174676,2.4472962761057078,2.3371105608846303,2.040895366217155,2.0467688025160244,1.7427847969461279,1.8125609463872803,1.767956015293066,1.4031139024681203,1.4438396504666562,1.427275333183818
[3.0-3.5),,,,,,2.7565053591934854,2.7938703900379434,2.6417567708692107,2.4539451125356666,2.21373818027221,2.167994082294425,2.0368500461152363,1.968334925777349,1.9468556825487924,1.6731939948832968,1.841621440215346,1.5819241068014822,1.488731228134701,1.3174419326026419,1.4347836550483803,1.5283848112153704,1.0966929576925752
[2.5-3.0),,,,,,2.5868641837551007,2.429025157373739,2.5669036058843218,2.408494940615147,1.995539399677544,1.9597355099401446,1.876518417199367,1.7042103414185592,1.8580889295849041,1.8577044092388646,1.5272179906393966,1.3091360536106966,1.3245836689718111,1.307978719706143,1.3165176093142403,1.087900386403244,1.0790992425415675
[2.0-2.5),,,,,1.9232186235167215,1.9794266208797604,2.249180490561371,1.9496593466242254,2.313904004976464,1.8148904372825472,2.0759209642401957,1.4642252475229665,1.5884934790140224,1.5659491346593648,1.3694617696280393,1.2633576576394774,1.322245533292529,1.1445644455698012,1.1885550199809907,1.1193294642982128,1.069176960058152,0.9514999777112386
[1.5-2.0),,,,1.6994817896805456,1.7963626207801697,1.4788922984236272,1.3952771570789728,1.3463166242398577,1.8222856098875022,1.4045373370982608,1.2939210646272992,1.329130988372369,1.332140931862422,1.3463340683498648,1.3552888043273408,0.9646426547511426,1.002255946963623,0.8788689844399551,0.9119656936247857,0.9714662088868727,0.7132587815131712,0.6942543715468329
[1.0-1.5),,,1.2600887830546972,1.0980932309572948,1.1491524246778737,1.247250155945618,1.2569334320609329,1.1891207037005,0.9582656042932369,0.9942863333471917,1.0200031898714101,0.8368609713967461,1.0016690615418984,0.8487572073655743,0.8524862700417583,0.838684983156297,0.8638527047165567,0.6944053837702662,0.5918188334348056,0.6291340619919008,0.5669384971026664,0.6428188093644452
[0.5-1.0),,0.5522070446884639,0.73596684225995,0.8523461745396719,0.8287574430107567,0.8415785329271153,0.7690328223538866,0.7168156261688448,0.7079212962925979,0.5508617199705619,0.6185059124938119,0.6965397992442957,0.5641106154283521,0.48713233686885765,0.45132722369177053,0.4909504780931041,0.4220522058264484,0.36045178327604055,0.42423805699876593,0.32032848029108146,0.33465410196165507,0.4006923572813501
