"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Average [W]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,4820.75400689171,3436.3280188564063,2454.3281851776437,1816.92678002243,1339.1459204871048,978.3716530781205,624.3501645631397,395.33100690572854,256.3421115903849
[8.0-8.5),,,,,,,,,,6290.905900501413,4372.387104246576,3080.3736420305886,2200.3834171002477,1617.489877519737,1204.9086330616763,878.6398709213927,552.942573391155,352.51702058868216,228.84839533956432
[7.5-8.0),,,,,,,,,,5620.181539990464,3824.9003600129035,2737.5042706361583,1950.5168136227064,1435.9855699126342,1066.5911953980828,776.5060745600431,491.52643287210446,310.81795752047543,200.31720110894986
[7.0-7.5),,,,,,,,,,4870.171065315137,3411.3163381302984,2406.690749681484,1723.0882265085775,1268.947659792287,950.2969898597612,679.4700760220646,430.4093380110695,272.7404796832477,176.72541457834598
[6.5-7.0),,,,,,,,,,4328.311241159081,2957.3790650621418,2080.8698021077375,1503.102049631025,1100.0098698980753,830.280928725717,592.1049141760498,375.4979833790533,236.92765949190073,154.08455332205108
[6.0-6.5),,,,,,,,,5542.033898337164,3747.6126602678946,2557.4363237879156,1803.1894145557153,1293.1590716013463,951.2012100139611,723.7257671893492,512.228805192523,321.5941069631799,203.4658206831238,131.71251999441535
[5.5-6.0),,,,,,,,,4715.530315484655,3186.8210366120366,2173.07377925928,1540.5325542042965,1105.4067734637524,809.6032413543192,615.9527571004556,435.9979031490967,272.9221493087507,172.02200599794332,111.68895238079966
[5.0-5.5),,,,,,,,6084.626474786992,3945.440550492798,2685.3475731593417,1835.845652546787,1288.482786675515,926.2978384136006,678.9017471143754,517.2572679269767,366.9018843613609,228.18402056598484,143.5876498723587,92.74588385470044
[4.5-5.0),,,,,,,,4996.217503058512,3275.5876634133974,2207.252861184512,1521.1447683281976,1067.8716528097482,759.4064689537024,557.5716882190848,429.10725924543647,302.2099726865017,187.96519286547064,117.57490883728528,75.78868317582211
[4.0-4.5),,,,,,,6524.9070719782,4066.821809519448,2671.1192980500473,1798.9867332183087,1225.0200969239834,870.3285770987818,617.3544732427634,449.9269295955626,350.09094172943014,244.20810250889667,150.38868342454634,94.18671445211594,61.54380711965325
[3.5-4.0),,,,,,8246.19156755449,5065.212718635598,3243.263422050405,2075.7511194606136,1420.311191064602,971.6374039996906,681.2190256693311,483.737052609001,353.1808589286519,276.2732121144164,191.26369461873136,118.04748796564819,73.77778122048677,47.585642809262794
[3.0-3.5),,,,,,6409.450953704159,3870.5394913305436,2458.2412491530013,1593.9678677605302,1075.685064193943,734.1054690263696,515.0319782657001,368.53700986378055,268.0367639120317,210.57758950274405,145.430982510303,88.91323905091332,55.498473431474636,35.64897103783666
[2.5-3.0),,,,,,4629.553853867392,2841.6248657253973,1812.0965515629669,1164.1888222576295,783.0560967986445,533.9057805569892,375.42154089047966,264.74869444382693,192.87018750024,153.39910808111244,104.67852834786538,63.64867391377549,39.61532926857504,25.7360514261714
[2.0-2.5),,,,,5543.473580212703,3159.6231408138465,1950.5407596214172,1232.3528159132366,800.0378526350166,532.7911694721469,361.2467655998147,254.02077191290954,178.7353206889233,130.53158264663472,104.98078195979468,70.62566859714833,42.826492648692195,26.58455567897319,17.20172356033695
[1.5-2.0),,,,5771.62255235627,3382.100070802504,1972.5287767021941,1193.7515768473795,760.3458069196787,491.0343835217714,329.2555372649243,223.02986580626617,155.62396632577114,109.45451760139161,79.4416384742074,65.10931758986843,43.202542170103236,25.916494940797406,16.164712178884628,10.416892332804272
[1.0-1.5),,,4671.340128654699,3048.0266642589595,1787.5350003553142,1043.377630646112,634.5053737369951,394.2835564500374,255.20160303739164,170.5329010091665,116.49833600914357,81.14560081349887,56.403604611378654,40.97519318380698,34.052318145086986,22.272444069226164,13.313311211890657,8.246566866448326,5.333852668536147
[0.5-1.0),,1435.6910036689085,1802.7157273975,1159.8576779485065,677.8610146215274,388.15870400353,233.93084693122876,146.7877272155584,94.44720704225342,62.8868695532813,42.73846408375736,29.672144316846392,20.549446548758155,14.96480766317331,12.592258564956643,8.11109711178036,4.819742270437806,2.9690731062528997,1.9114096781315741
[0.0-0.5),24.396409626312888,159.49592654435605,220.1460488047195,144.15224269428992,82.36882958482335,46.027523045983884,27.04040805042925,16.741408046956657,10.870976638475732,7.1499679055249725,4.832142938022353,3.346780129429193,2.308997943835642,1.6733323631044115,1.4426109397262956,0.9093380970209568,0.5358943508282379,0.33032284240150417,0.21245082217067257
