"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Maximum Constraint Surge Force [N]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,38828.31098917646,42998.373121651864,40588.061460041215,32605.87116395074,33227.0494821495,45855.35089689993,29073.64652815239,35782.68945534583,30136.505618329218
[8.0-8.5),,,,,,,,,,54830.981383029604,38327.998543052134,34707.155618996054,35733.606453989516,34759.18984507722,30209.954243640634,29706.413137388667,27601.725323391074,37415.44976135687,24850.4654307667
[7.5-8.0),,,,,,,,,,45072.51938593264,33074.65998644668,32404.47951805917,33464.84447803818,31800.31901108472,36820.8001739888,30012.28286317713,24979.689215331244,31209.67790737824,22125.114908266805
[7.0-7.5),,,,,,,,,,32775.144806699,32198.99473347404,34746.21569492691,33016.7715691726,25419.649502121327,34966.95133496093,26682.599874663614,30578.679306106496,27206.254633278604,23447.37979797392
[6.5-7.0),,,,,,,,,,41094.624374160056,33669.06207266313,31143.24080140378,31483.720573139828,28432.91800297842,24417.612555573243,21527.233333684686,22207.03658469818,23802.0881047443,21184.096464302685
[6.0-6.5),,,,,,,,,28253.965119123404,25071.08072401204,29421.53397064285,28432.92666612695,26739.45608545666,27123.535126549163,29728.807450248845,24157.76651702373,19241.04530386997,22736.275419161586,25937.725804792357
[5.5-6.0),,,,,,,,,28241.954330004035,26055.467890185213,30425.99580932636,23517.50405347786,21730.39560872193,25702.738242576866,24193.344686122713,18882.631898145915,19869.63408341117,19314.173742913932,21517.680655373417
[5.0-5.5),,,,,,,,22448.672686402224,25820.19123562802,22912.60860642454,25395.129679569123,22459.7399097609,22497.862690728005,18794.734768976978,18185.54528850288,20662.60484744735,15703.547812272009,17031.32170765993,17496.42012987657
[4.5-5.0),,,,,,,,23582.675760830272,22053.669984391883,21816.666190112028,19764.307639126982,19104.478310669663,22283.79774386867,18964.190545452635,18256.70696017497,16525.570367575187,15899.429185364976,14525.241906331563,16875.774905715916
[4.0-4.5),,,,,,,15784.669219795152,17620.26776902,18469.774546972076,16529.166730681074,17704.719785931728,17902.384247343165,16476.331876003052,13667.70511689506,15098.046165939602,15109.885269913015,14896.766618382393,15244.556085914177,14045.588487537141
[3.5-4.0),,,,,,16000.774144244011,15816.745075124409,13877.602651998113,15098.734454714067,14297.921938870042,15177.707771375619,13932.82537051804,15393.130472985884,16041.091628253074,13399.186558776193,14227.355931620785,11688.28063687484,13120.503173283716,12094.081042340234
[3.0-3.5),,,,,,9194.167396262803,9988.08592621642,11424.561922418234,11382.798385984304,11823.229799819446,10867.55860941836,12726.537187731446,11161.087456314479,11218.333789641416,11389.360296233146,10957.210280998468,12096.010151622375,10053.28367065505,9206.052158128758
[2.5-3.0),,,,,,7369.440060182314,7357.84812231677,8541.586156069538,11404.767953356459,12706.778846092086,8424.620394065001,9814.936979669372,10313.683523711183,10401.20753025161,10990.455672662149,9417.450624195084,10276.85362243446,10044.288295059005,10535.57005098326
[2.0-2.5),,,,,4821.176452480444,5927.941569288951,6803.82438847506,5011.85035596617,7845.544693361024,8626.091023994211,9018.526650592281,8426.850804862119,7702.097902427231,8918.47036086208,7614.266374095552,7519.639820768167,8502.858433905749,7279.20050156061,8248.239776592833
[1.5-2.0),,,,2941.498782765165,3029.401088432366,3043.0000525115324,3591.068122013296,4731.09861549474,4305.234498105801,5072.385501996056,5029.0852646468975,5676.600253628625,5605.682442264442,5734.05528494553,5226.5275936212465,5620.272074436328,4899.157604915589,5316.894835128317,5969.872611862381
[1.0-1.5),,,1923.682252044637,1614.009420088132,2423.044932622242,2205.6937879716143,2097.562320458314,2477.0765543847333,2449.832615728613,3638.5454951553425,3206.3740648845824,3492.599901848626,4007.4261933629577,3400.220328528236,3942.0609869403556,3679.6996051148935,3543.559843244418,3965.030010974396,3226.7889266138473
[0.5-1.0),,650.1440874904845,716.0847387213588,927.6485234598489,1067.6037582215051,1503.3117533557306,1479.0804085802533,1885.8012968065154,2058.335479868561,2426.2446028899985,2173.6521922800525,3154.3365653847923,2440.433152309608,2000.5605989718917,2052.47880042505,2471.9836491532683,2299.9216006910983,2172.9071696388646,2136.940184683774
[0.0-0.5),656.1666450556392,776.2981158780061,836.0500936590919,1014.9838730152101,955.3298996270603,1025.6116680155474,1088.3016362023834,1211.7124959505095,1148.4578127884738,1093.577465923819,1051.184719804584,1109.863879778409,1077.8422697369213,1074.501628213668,996.9616411814341,1075.7102177091533,1141.7694905044714,1002.8079597933285,988.451314981792
