"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.09375145206515549,0.07863392472165787,0.06287377279776057,0.06122521510659169,0.05507518320827652,0.05033888167662848,0.0390097130348138,0.03856084599929068,0.035768905670445855
[8.0-8.5),,,,,,,,,,0.1223992922973471,0.09868632297289472,0.08334571506879934,0.06753792743050971,0.06302178030331679,0.05332034995055998,0.0468136077953739,0.041744653857007416,0.04011136595979657,0.033589308873748856
[7.5-8.0),,,,,,,,,,0.11191279997049493,0.09591962800874412,0.08221082244054992,0.07218041724027965,0.05790376538684642,0.05168322478474974,0.04681118768497908,0.04321386324740098,0.03971265915155538,0.03194359746214553
[7.0-7.5),,,,,,,,,,0.11439285417452107,0.09308636352128986,0.07848126411926909,0.06992307727531027,0.0574966175063195,0.052110412177561155,0.04683317989995699,0.04198261336652708,0.03885378503006358,0.03158099015170665
[6.5-7.0),,,,,,,,,,0.11323143448986243,0.09652694378124715,0.08075361915869517,0.07173599379713476,0.059450204258106626,0.056033265850804266,0.04904010959879965,0.045429818585785695,0.037802774230401626,0.03237291337714059
[6.0-6.5),,,,,,,,,0.1452647425924441,0.11606920363919009,0.09886871143995424,0.08233016864567014,0.07210937425169997,0.06773465800381943,0.05444436451997547,0.04906465243302905,0.04186677492557172,0.037560453868919284,0.03585031284405018
[5.5-6.0),,,,,,,,,0.14909231974160927,0.12736950787776458,0.10022574888431114,0.08119607861940405,0.07083825486425493,0.0615172772418692,0.05382730686007228,0.04753479182681097,0.041285452643224585,0.038501485650579335,0.035226665641214405
[5.0-5.5),,,,,,,,0.18101840346356046,0.14556812605952177,0.1194765425600445,0.10059875594140522,0.08178807215811533,0.07039076136001965,0.05888908887838768,0.05442305555326997,0.04448340775385658,0.0394780259426515,0.03964791931153714,0.034478463751539394
[4.5-5.0),,,,,,,,0.1854211946118406,0.1472257371966915,0.1161907044951844,0.09775888776335019,0.08645321076170344,0.07130242733295326,0.06385485601461324,0.05572564430299143,0.04540239101244199,0.042591025293720546,0.03709296205309386,0.03465179460453685
[4.0-4.5),,,,,,,0.22371602248857314,0.1812021134236439,0.15445668323449074,0.12512125554459197,0.1000053461567168,0.08622695398942817,0.07474048711053247,0.06363133340483201,0.05583638177962989,0.048253154104978324,0.044045687749623016,0.03828253087119966,0.03690190292660813
[3.5-4.0),,,,,,0.291106452597732,0.23363049231704736,0.1802001857058092,0.1468177926937153,0.1287810955056362,0.10362906852967584,0.08560838399361122,0.07252265451505664,0.06669192062978052,0.05277089414116862,0.0516070774449937,0.04435775185019808,0.037395022343529975,0.037476352294827896
[3.0-3.5),,,,,,0.28930262856157046,0.23659108140071647,0.18541656934470163,0.14614440943136459,0.12088815100425977,0.1009430660069151,0.0855569061958455,0.07564254758267182,0.0640071811640019,0.055671817369290354,0.04983803654696623,0.045812552829198744,0.037722880372904256,0.03173468637317138
[2.5-3.0),,,,,,0.2900916192970226,0.23789760948811772,0.19105873471710033,0.16088402524386353,0.12415972392922867,0.10619797825336312,0.08620438547377776,0.07753126959995066,0.06425996624685922,0.05541263496481757,0.04759668324741273,0.0451764185210394,0.0365965223239969,0.03618703979897066
[2.0-2.5),,,,,0.37802602700084786,0.296271201052677,0.2412828298960841,0.18855065217219566,0.1537491208727791,0.13486539724993316,0.10868265970090311,0.09243937122781588,0.07589478141359415,0.06218787287701115,0.05689567883913762,0.04946698388678502,0.04256827328769135,0.03742913090503395,0.03667410581704793
[1.5-2.0),,,,0.48436451581298556,0.3853268664991517,0.3026645017720752,0.2381090221927859,0.19520731096129149,0.16244796827759506,0.12943845556267744,0.1073416179744866,0.08491974755814653,0.07930864420170668,0.06634909911634335,0.05938185860351138,0.05074795055930569,0.04651385676437411,0.04026040721907633,0.03504350589402151
[1.0-1.5),,,0.5899583083401364,0.4971602822554162,0.3939660464579653,0.30753703079372086,0.24194408806104917,0.20119256320167914,0.15618644813956384,0.12748079523014982,0.10740368262863902,0.09265299069572222,0.08420378524837066,0.06800993706137022,0.05885417076895354,0.054797947534851794,0.04679775123957987,0.04174747456131426,0.03573437782584759
[0.5-1.0),,0.5904275168007477,0.6160221021618807,0.5184808663861894,0.4075034313211114,0.318563861296884,0.24974510538558078,0.19672806573906162,0.16309894271094272,0.13118638397381566,0.10804573608327087,0.09616799404428662,0.08214848163369218,0.06916470993696802,0.05769998520749236,0.05645735829697024,0.049049354668677464,0.04095998113955528,0.037340992672723214
[0.0-0.5),0.23587915034393842,0.6282018665744071,0.648688374065471,0.5489916296613115,0.4259023886183266,0.3294073390990912,0.2577426820660274,0.20704173426265787,0.17777537212841052,0.13685230554623887,0.11001166262151742,0.0884288600139382,0.08055605619857657,0.0661093319652947,0.0630258477755946,0.051561981300831596,0.04906626364581554,0.04175035184735423,0.03863459748502664
