"X:Peak Period Bins [s], Y:Wave Height Bins [m], Values: Power Take Off Heave Position Minimum [m]",[1-2),[2-3),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,-3.8851191253093047,-4.3137245769207615,-4.995901528310222,-4.875361661196267,-4.5247437008499,-4.314803124911625,-4.032957305860778,-4.886643770716694,-6.187726972976986
[8.0-8.5),,,,,,,,,,-3.4830025041464747,-2.8146112449921077,-3.447271137461965,-4.139807703912235,-3.889023658892216,-3.2816241253682072,-4.592272022564815,-4.567356956584806,-4.14446745506168,-5.565177697988253
[7.5-8.0),,,,,,,,,,-2.728683435620305,-2.951240570829414,-3.367752855161498,-3.544744579144432,-3.9616023747424842,-3.4217940756318903,-3.750842858529932,-4.252425562325439,-4.986588541977474,-4.784870490762302
[7.0-7.5),,,,,,,,,,-3.9285531777935616,-3.374030475893583,-3.226060235453502,-3.42698444186424,-3.374068859341241,-3.679840785479903,-3.726971570693211,-4.450931681656064,-4.8711760155705175,-3.4781894415932557
[6.5-7.0),,,,,,,,,,-2.916925431607867,-3.0751701587737457,-3.055763942890947,-2.6933710123142136,-3.1488095838053445,-3.073945896626679,-2.9870962953885987,-3.2164734580630157,-3.7539879594104524,-3.0018362434304073
[6.0-6.5),,,,,,,,,-2.636997897141111,-2.4172972339684233,-3.1007929976036768,-3.1029498169536116,-3.040448618140406,-2.44635717212945,-3.746139179781791,-3.0351221588447963,-2.40844059791802,-2.7323396277219563,-4.422890913498418
[5.5-6.0),,,,,,,,,-2.238438083675175,-2.1586050259363727,-2.6960505528387664,-2.9968988626506627,-2.6364068284117415,-3.1760371599055226,-3.1334554740014187,-2.987882059539379,-2.5228019980511136,-2.77982452992445,-2.860213564682487
[5.0-5.5),,,,,,,,-1.8855444595335802,-2.19936957968317,-2.146598498402644,-2.695835004918984,-2.1720349709930806,-2.3349722702089752,-2.389418753300381,-2.3457442390927254,-2.45515197913267,-2.0398829757077124,-2.393283744526361,-2.297744578275243
[4.5-5.0),,,,,,,,-1.8381665797263875,-2.8781029790732418,-1.7610313189053808,-1.9335146894121906,-2.2471918344125186,-1.9415937549651154,-1.7016279537083507,-2.238848985307344,-2.18145765724797,-1.9925557075211404,-2.0308233939751896,-2.0538086895909853
[4.0-4.5),,,,,,,-1.4944557591295484,-1.9481695526681093,-1.5729707369154722,-1.3271428937858492,-1.8624293226913586,-1.8740454631860812,-2.165618640109309,-1.5335404857136063,-2.1705315006200627,-1.878518669893775,-1.6313023153820394,-2.0773690125901023,-2.1975090913846573
[3.5-4.0),,,,,,-1.2515792977172027,-1.4667224121283056,-1.339411768756757,-1.2287482645359624,-1.451586791050047,-1.2945747239803056,-1.3791818984105595,-1.4767758334535155,-1.571870217178565,-2.310622260447505,-1.8908733210080104,-1.591851833606638,-1.3814718761574403,-1.5876949253615775
[3.0-3.5),,,,,,-1.099620845153617,-1.0906533203132314,-1.2087811645564996,-1.3624568626161895,-1.2401654647798832,-0.963992269843688,-1.2062763909916663,-1.3111418910257966,-1.2779229829710204,-1.1391027488219025,-1.2066605240044828,-1.4572803865863373,-1.1086223913314353,-1.3688599038535336
[2.5-3.0),,,,,,-0.8230180892020857,-0.8557418892329326,-1.0935793884640053,-1.1795697939747503,-0.8181631171047271,-0.9162734229862084,-1.0328932968581483,-1.0035214501932475,-1.0392016460698839,-0.95829852033241,-1.0146636647148244,-1.0479417091558512,-1.0116874576544042,-1.113798643877333
[2.0-2.5),,,,,-0.8187291332934034,-0.6458144062302922,-0.7593938761686062,-0.6882327235362136,-0.8717941828693119,-0.7825879552323984,-1.0667933201315674,-0.8074883994829207,-0.5827973211195487,-0.9120887957007384,-0.7849139516632546,-0.6718076327605653,-0.8292693059204903,-0.8584132382841176,-0.9386287679367326
[1.5-2.0),,,,-0.5859377127758348,-0.6106202913992423,-0.5837676167018415,-0.4789829327900889,-0.5431224829467892,-0.8616184602643293,-0.4831612483081501,-0.505532776626398,-0.5117809501229151,-0.6561198732079311,-0.639070875324993,-0.7511647650491671,-0.4343076422357374,-0.4793068527086601,-0.6044744456394672,-0.5443535631053439
[1.0-1.5),,,-0.4870103527476866,-0.45100731422435714,-0.40480626540372117,-0.37845333413696586,-0.4902435018071622,-0.3069129327740338,-0.3356001301107089,-0.3216096436807656,-0.3316140090664681,-0.254980503079414,-0.47415871737372717,-0.2669313396054106,-0.2744752500867535,-0.3554584116830559,-0.3919477249234376,-0.3075202915669075,-0.2856762952297969
[0.5-1.0),,-0.2775864017160642,-0.3020930099874158,-0.2397183637328045,-0.23759323127774176,-0.19047837491745578,-0.2189450995934455,-0.18141736248784238,-0.17578771675167035,-0.12940760106801305,-0.13259587805072282,-0.21558864205152278,-0.1485409831487119,-0.16342095731676978,-0.11685961653753832,-0.15561352755305738,-0.126370690454554,-0.13223537706162639,-0.13940382247294397
[0.0-0.5),-0.07031596231600971,-0.10336122092218242,-0.09848074999823012,-0.09822597658358685,-0.06983471978774702,-0.058129689974295004,-0.05535595465352529,-0.04701759651428885,-0.0452356470427808,-0.03115850050349365,-0.029747299396403575,-0.026347593291199352,-0.02435472773239903,-0.021656320001204574,-0.027486649021379705,-0.0249222043696513,-0.02290824080468733,-0.023798170795774082,-0.02148997530448378
