"X:Energy Period Bins [s], Y:Wave Height Bins [m], Values: Capture Width Ratio [none]",[1-2),[2-3),[3-4),[4-5),[5-6),[6-7),[7-8),[8-9),[9-10),[10-11),[11-12),[12-13),[13-14),[14-15),[15-16),[16-17),[17-18),[18-19),[19-20),[20-21),[21-22),[22-23)
[8.5-9.0),,,,,,,,,,,0.0790426272472753,0.061411540213950885,0.05046691408902004,0.04002931608106679,0.03551243960542386,0.03141176435379643,0.02461875798192777,0.023155042503260736,0.021059065447098034,0.019525971794414572,0.01597609950947921,0.013028330822145152
[8.0-8.5),,,,,,,,,,0.10749696383616358,0.08406783545443954,0.06351551112910539,0.05231653872550893,0.04215224179670363,0.03413461413283927,0.030026880734498648,0.02620966626387901,0.023280723138193876,0.019844806956667634,0.016806158633431822,0.01531377328826058,0.013255953766853842
[7.5-8.0),,,,,,,,,,0.10758051982572354,0.08711682835113002,0.06789788217226539,0.05563424156299922,0.040321940401829584,0.03395248261422902,0.03213179286736559,0.027377363628627614,0.02478928402761565,0.01857363152136626,0.01819416996384129,0.015434369191291694,0.013608190147046858
[7.0-7.5),,,,,,,,,,0.11298268393431019,0.08707677736411285,0.06909949288015595,0.0581252132880202,0.04323526279442632,0.03666924598021881,0.03410520809334115,0.02797706405472466,0.02433144249047345,0.019553787847868268,0.01693070600952143,0.015261084893917694,0.013400867313246067
[6.5-7.0),,,,,,,,,,0.11893930236342583,0.09182807220963156,0.0733437442881243,0.05977096809222975,0.0458275484357825,0.03830971755007782,0.03425678152931618,0.02941306754264147,0.023931813544697506,0.02017241524540254,0.018503255690176038,0.015567174554055473,0.015656508526142275
[6.0-6.5),,,,,,,,,0.18281130826746886,0.1254782236358028,0.09970606134274762,0.07778984550839169,0.06405940804385409,0.049879353620636085,0.04045618697051829,0.03549253226519925,0.02931362184196905,0.02582319207693085,0.02176788903533933,0.018391994948883342,0.017653872653366404,0.014105591232986674
[5.5-6.0),,,,,,,,,0.19599122654045037,0.14422338803968926,0.1043869158980484,0.08342627557758468,0.06777511928775314,0.05257447294235237,0.0428260301217256,0.03789270003129778,0.03163460163456184,0.027003102432478103,0.02325094727592084,0.02093223963354548,0.017354818361392396,0.015376695879885646
[5.0-5.5),,,,,,,,0.2663838240422862,0.2063448802081067,0.1470182540864551,0.11743127866661891,0.09254233514262611,0.07188285865826374,0.055547972298912694,0.04701238597917414,0.039919658250266055,0.03322304179962569,0.029258971538741428,0.023926183752787693,0.021542583686226417,0.019193418196541086,0.015673732029670574
[4.5-5.0),,,,,,,,0.280031724327791,0.22098654846809576,0.16188002570769114,0.12332017457650558,0.10197234436238868,0.08003658334928644,0.06155815150331689,0.05064647841753267,0.04260839464327401,0.03737517906079515,0.030131725756858376,0.025484580641311795,0.022747035031048878,0.01935275237449303,0.017738021600427766
[4.0-4.5),,,,,,,0.34906096734318637,0.28311658514117166,0.2380362902599896,0.1799138334963471,0.13703709206437326,0.10891249076117408,0.09085746622148896,0.06852158431747343,0.05564080621331955,0.04818085749959919,0.03968558918106336,0.03271324471997559,0.02874481774517726,0.02537281271984104,0.020646727199174274,0.01882182472867273
[3.5-4.0),,,,,,0.42872145454130095,0.362748882546945,0.290763546439253,0.247772981615077,0.19747079907676096,0.15451873023845114,0.12035073642628465,0.09597664257674637,0.07800954971419309,0.06168786212855058,0.053925112037282265,0.04340082640450853,0.03629137112073076,0.03142488913530349,0.0273439444167025,0.02373375642238969,0.01894138954696096
[3.0-3.5),,,,,,0.4310652393636303,0.37439535378325123,0.3062605117521083,0.262772937260438,0.21177592025308975,0.1656887383828318,0.13371369574885683,0.10756008146792624,0.08363033167185417,0.06858907285140774,0.06014794741538616,0.04973849752539995,0.0406012115375191,0.03403445925682612,0.02959450801184673,0.0252180830581874,0.02206325072983212
[2.5-3.0),,,,,,0.4316633163104484,0.3793804799116609,0.32353028820045765,0.2951679163137317,0.2285613553334946,0.1876879230066946,0.14354732922965016,0.12166917143228576,0.09398398371547834,0.07630278370497362,0.06518527080466983,0.054819762620460566,0.043485625481016976,0.039466680178553946,0.034613118248013525,0.027991002386640932,0.023957181509237407
[2.0-2.5),,,,,0.5438409910347585,0.44306343660680714,0.38924656373413047,0.32753738529798365,0.29829028075800723,0.26646836542646624,0.20618372955494088,0.16669315702671414,0.13384643726086087,0.10436268916237913,0.0896097943359061,0.06988734184301648,0.060228554056937895,0.05020860117318199,0.044000193027052506,0.038005149818462834,0.03181596297128157,0.027060053834608466
[1.5-2.0),,,,0.6400734614019522,0.5461035706364846,0.45049714854438627,0.3921943114037817,0.34124615581166257,0.3317399684037515,0.27916886732023893,0.22707459203678326,0.1747620534499124,0.15144593540075607,0.12060912264693542,0.10065253877182331,0.08064757579222721,0.07143721799596503,0.058162020298186304,0.049546346043334556,0.04086405413945602,0.03425550902334651,0.028922664052379372
[1.0-1.5),,,0.6866858779426395,0.6367555155989637,0.5505636167311271,0.45160646934817233,0.3942928271512594,0.3570290439398102,0.3243071197341229,0.29950146415449685,0.24478905577485627,0.2076539965798085,0.1790648553419085,0.14313855459912103,0.117920924263618,0.09555469204211793,0.07812783475544416,0.06547843904342633,0.055220425468619855,0.043132028591873886,0.03978446729300487,0.03245689798532772
[0.5-1.0),,0.5846423579499027,0.6802132017829651,0.6334843165046365,0.5563405933223914,0.45529172100471993,0.40542260195929664,0.35416034572513,0.3578893159536203,0.3323188004264606,0.2712683984921231,0.23209821750852305,0.19266720742393398,0.16430935465616928,0.12967424999251356,0.10800264860902738,0.09039717846979765,0.07425717899511958,0.06254109719654577,0.048611430446696906,0.040690726733744034,0.03647545063482634
[0.0-0.5),0.32815407775437133,0.5779972951983947,0.6871643934275055,0.6481994993344167,0.5680684333931756,0.4595066010841689,0.4107825941684066,0.36721905605173716,0.38639311660255926,0.3524098184147428,0.2934975076863284,0.2303443377010558,0.20069679942440716,0.17864739790897657,0.1640862264576487,0.1135051226873168,0.09583230278723852,0.07749751482964755,0.06838929987308182,0.05418952171857007,0.04473892217518271,0.03844711226416645
